🐀🐀: abandon
🐂🐞: burger
🐂🐟: burst
🐂🐠: bus
🐂🐡: business
🐂🐢: busy
🐂🐣: butter
🐂🐤: buyer
🐂🐥: buzz
🐂🐦: cabbage
🐂🐧: cabin
🐂🐨: cable
🐂🐩: cactus
🐂🐪: cage
🐂🐫: cake
🐂🐬: call
🐂🐭: calm
🐂🐮: camera
🐂🐯: camp
🐂🐰: can
🐂🐱: canal
🐂🐲: cancel
🐂🐳: candy
🐂🐴: cannon
🐂🐵: canoe
🐂🐶: canvas
🐂🐷: canyon
🐂🐸: capable
🐂🐹: capital
🐂🐺: captain
🐂🐻: car
🐂🐼: carbon
🐂🐿: card
🐂🕊: cargo
🐂🦁: carpet
🐂🦂: carry
🐂🦃: cart
🐂🦄: case
🐂🦅: cash
🐂🦆: casino
🐂🦇: castle
🐂🦈: casual
🐂🦉: cat
🐂🦊: catalog
🐂🦋: catch
🐂🦌: category
🐂🦍: cattle
🐂🦎: caught
🐂🦏: cause
🐂🦒: caution
🐂🦓: cave
🐂🦔: ceiling
🐂🦕: celery
🐂🦖: cement
🐂🦗: census
🐂🦘: century
🐂🦙: cereal
🐂🦚: certain
🐂🦛: chair
🐂🦜: chalk
🐂🦝: champion
🐂🦟: change
🐂🦠: chaos
🐂🦡: chapter
🐂🦢: charge
🐂🦣: chase
🐂🦤: chat
🐂🦥: cheap
🐂🦦: check
🐂🦧: cheese
🐂🦨: chef
🐂🦩: cherry
🐂🦫: chest
🐂🦬: chicken
🐂🦭: chief
🐂🦮: child
🐂🪰: chimney
🐂🪱: choice
🐂🪲: choose
🐂🪳: chronic
🐃🐀: chuckle
🐃🐁: chunk
🐃🐂: churn
🐃🐃: cigar
🐃🐄: cinnamon
🐃🐅: circle
🐃🐆: citizen
🐃🐇: city
🐃🐈: civil
🐃🐉: claim
🐃🐊: clap
🐃🐋: clarify
🐃🐍: claw
🐃🐎: clay
🐃🐏: clean
🐃🐐: clerk
🐃🐑: clever
🐃🐒: click
🐃🐓: client
🐃🐔: cliff
🐃🐕: climb
🐃🐖: clinic
🐃🐗: clip
🐃🐘: clock
🐃🐙: clog
🐃🐚: close
🐃🐛: cloth
🐃🐜: cloud
🐃🐝: clown
🐃🐞: club
🐃🐟: clump
🐃🐠: cluster
🐃🐡: clutch
🐃🐢: coach
🐃🐣: coast
🐃🐤: coconut
🐃🐥: code
🐃🐦: coffee
🐃🐧: coil
🐃🐨: coin
🐃🐩: collect
🐃🐪: color
🐃🐫: column
🐃🐬: combine
🐃🐭: come
🐃🐮: comfort
🐃🐯: comic
🐃🐰: common
🐃🐱: company
🐃🐲: concert
🐃🐳: conduct
🐃🐴: confirm
🐃🐵: congress
🐃🐶: connect
🐃🐷: consider
🐃🐸: control
🐃🐹: convince
🐃🐺: cook
🐃🐻: cool
🐃🐼: copper
🐃🐿: copy
🐃🕊: coral
🐃🦁: core
🐃🦂: corn
🐃🦃: correct
🐃🦄: cost
🐃🦅: cotton
🐃🦆: couch
🐃🦇: country
🐃🦈: couple
🐃🦉: course
🐃🦊: cousin
🐃🦋: cover
🐃🦌: coyote
🐃🦍: crack
🐃🦎: cradle
🐃🦏: craft
🐃🦒: cram
🐃🦓: crane
🐃🦔: crash
🐃🦕: crater
🐃🦖: crawl
🐃🦗: crazy
🐃🦘: cream
🐃🦙: credit
🐃🦚: creek
🐃🦛: crew
🐃🦜: cricket
🐃🦝: crime
🐃🦟: crisp
🐃🦠: critic
🐃🦡: crop
🐃🦢: cross
🐃🦣: crouch
🐃🦤: crowd
🐃🦥: crucial
🐃🦦: cruel
🐃🦧: cruise
🐃🦨: crumble
🐃🦩: crunch
🐃🦫: crush
🐃🦬: cry
🐃🦭: crystal
🐃🦮: cube
🐃🪰: culture
🐃🪱: cup
🐃🪲: cupboard
🐃🪳: curious
🐄🐀: current
🐄🐁: curtain
🐄🐂: curve
🐄🐃: cushion
🐄🐄: custom
🐄🐅: cute
🐄🐆: cycle
🐄🐇: dad
🐄🐈: damage
🐄🐉: damp
🐄🐊: dance
🐄🐋: danger
🐄🐍: daring
🐄🐎: dash
🐄🐏: daughter
🐄🐐: dawn
🐄🐑: day
🐄🐒: deal
🐄🐓: debate
🐄🐔: debris
🐄🐕: decade
🐄🐖: december
🐄🐗: decide
🐄🐘: decline
🐄🐙: decorate
🐄🐚: decrease
🐄🐛: deer
🐄🐜: defense
🐄🐝: define
🐄🐞: defy
🐄🐟: degree
🐄🐠: delay
🐄🐡: deliver
🐄🐢: demand
🐄🐣: demise
🐄🐤: denial
🐄🐥: dentist
🐄🐦: deny
🐄🐧: depart
🐄🐨: depend
🐄🐩: deposit
🐄🐪: depth
🐄🐫: deputy
🐄🐬: derive
🐄🐭: describe
🐄🐮: desert
🐄🐯: design
🐄🐰: desk
🐄🐱: despair
🐄🐲: destroy
🐄🐳: detail
🐄🐴: detect
🐄🐵: develop
🐄🐶: device
🐄🐷: devote
🐄🐸: diagram
🐄🐹: dial
🐄🐺: diamond
🐄🐻: diary
🐄🐼: dice
🐄🐿: diesel
🐄🕊: diet
🐄🦁: differ
🐄🦂: digital
🐄🦃: dignity
🐄🦄: dilemma
🐄🦅: dinner
🐄🦆: dinosaur
🐄🦇: direct
🐄🦈: dirt
🐄🦉: disagree
🐄🦊: discover
🐄🦋: disease
🐄🦌: dish
🐄🦍: dismiss
🐄🦎: disorder
🐄🦏: display
🐄🦒: distance
🐄🦓: divert
🐄🦔: divide
🐄🦕: divorce
🐄🦖: dizzy
🐄🦗: doctor
🐄🦘: document
🐄🦙: dog
🐄🦚: doll
🐄🦛: dolphin
🐄🦜: domain
🐄🦝: donate
🐄🦟: donkey
🐄🦠: donor
🐄🦡: door
🐄🦢: dose
🐄🦣: double
🐄🦤: dove
🐄🦥: draft
🐄🦦: dragon
🐄🦧: drama
🐄🦨: drastic
🐄🦩: draw
🐄🦫: dream
🐄🦬: dress
🐄🦭: drift
🐄🦮: drill
🐄🪰: drink
🐄🪱: drip
🐄🪲: drive
🐄🪳: drop
🐅🐀: drum
🐅🐁: dry
🐅🐂: duck
🐅🐃: dumb
🐅🐄: dune
🐅🐅: during
🐅🐆: dust
🐅🐇: dutch
🐅🐈: duty
🐅🐉: dwarf
🐅🐊: dynamic
🐅🐋: eager
🐅🐍: eagle
🐅🐎: early
🐅🐏: earn
🐅🐐: earth
🐅🐑: easily
🐅🐒: east
🐅🐓: easy
🐅🐔: echo
🐅🐕: ecology
🐅🐖: economy
🐅🐗: edge
🐅🐘: edit
🐅🐙: educate
🐅🐚: effort
🐅🐛: egg
🐅🐜: eight
🐅🐝: either
🐅🐞: elbow
🐅🐟: elder
🐅🐠: electric
🐅🐡: elegant
🐅🐢: element
🐅🐣: elephant
🐅🐤: elevator
🐅🐥: elite
🐅🐦: else
🐅🐧: embark
🐅🐨: embody
🐅🐩: embrace
🐅🐪: emerge
🐅🐫: emotion
🐅🐬: employ
🐅🐭: empower
🐅🐮: empty
🐅🐯: enable
🐅🐰: enact
🐅🐱: end
🐅🐲: endless
🐅🐳: endorse
🐅🐴: enemy
🐅🐵: energy
🐅🐶: enforce
🐅🐷: engage
🐅🐸: engine
🐅🐹: enhance
🐅🐺: enjoy
🐅🐻: enlist
🐅🐼: enough
🐅🐿: enrich
🐅🕊: enroll
🐅🦁: ensure
🐅🦂: enter
🐅🦃: entire
🐅🦄: entry
🐅🦅: envelope
🐅🦆: episode
🐅🦇: equal
🐅🦈: equip
🐅🦉: era
🐅🦊: erase
🐅🦋: erode
🐅🦌: erosion
🐅🦍: error
🐅🦎: erupt
🐅🦏: escape
🐅🦒: essay
🐅🦓: essence
🐅🦔: estate
🐅🦕: eternal
🐅🦖: ethics
🐅🦗: evidence
🐅🦘: evil
🐅🦙: evoke
🐅🦚: evolve
🐅🦛: exact
🐅🦜: example
🐅🦝: excess
🐅🦟: exchange
🐅🦠: excite
🐅🦡: exclude
🐅🦢: excuse
🐅🦣: execute
🐅🦤: exercise
🐅🦥: exhaust
🐅🦦: exhibit
🐅🦧: exile
🐅🦨: exist
🐅🦩: exit
🐅🦫: exotic
🐅🦬: expand
🐅🦭: expect
🐅🦮: expire
🐅🪰: explain
🐅🪱: expose
🐅🪲: express
🐅🪳: extend
🐆🐀: extra
🐆🐁: eye
🐆🐂: eyebrow
🐆🐃: fabric
🐆🐄: face
🐆🐅: faculty
🐆🐆: fade
🐆🐇: faint
🐆🐈: faith
🐆🐉: fall
🐆🐊: false
🐆🐋: fame
🐆🐍: family
🐆🐎: famous
🐆🐏: fan
🐆🐐: fancy
🐆🐑: fantasy
🐆🐒: farm
🐆🐓: fashion
🐆🐔: fat
🐆🐕: fatal
🐆🐖: father
🐆🐗: fatigue
🐆🐘: fault
🐆🐙: favorite
🐆🐚: feature
🐆🐛: february
🐆🐜: federal
🐆🐝: fee
🐆🐞: feed
🐆🐟: feel
🐆🐠: female
🐆🐡: fence
🐆🐢: festival
🐆🐣: fetch
🐆🐤: fever
🐆🐥: few
🐆🐦: fiber
🐆🐧: fiction
🐆🐨: field
🐆🐩: figure
🐆🐪: file
🐆🐫: film
🐆🐬: filter
🐆🐭: final
🐆🐮: find
🐆🐯: fine
🐆🐰: finger
🐆🐱: finish
🐆🐲: fire
🐆🐳: firm
🐆🐴: first
🐆🐵: fiscal
🐆🐶: fish
🐆🐷: fit
🐆🐸: fitness
🐆🐹: fix
🐆🐺: flag
🐆🐻: flame
🐆🐼: flash
🐆🐿: flat
🐆🕊: flavor
🐆🦁: flee
🐆🦂: flight
🐆🦃: flip
🐆🦄: float
🐆🦅: flock
🐆🦆: floor
🐆🦇: flower
🐆🦈: fluid
🐆🦉: flush
🐆🦊: fly
🐆🦋: foam
🐆🦌: focus
🐆🦍: fog
🐆🦎: foil
🐆🦏: fold
🐆🦒: follow
🐆🦓: food
🐆🦔: foot
🐆🦕: force
🐆🦖: forest
🐆🦗: forget
🐆🦘: fork
🐆🦙: fortune
🐆🦚: forum
🐆🦛: forward
🐆🦜: fossil
🐆🦝: foster
🐆🦟: found
🐆🦠: fox
🐆🦡: fragile
🐆🦢: frame
🐆🦣: frequent
🐆🦤: fresh
🐆🦥: friend
🐆🦦: fringe
🐆🦧: frog
🐆🦨: front
🐆🦩: frost
🐆🦫: frown
🐆🦬: frozen
🐆🦭: fruit
🐆🦮: fuel
🐆🪰: fun
🐆🪱: funny
🐆🪲: furnace
🐆🪳: fury
🐇🐀: future
🐇🐁: gadget
🐇🐂: gain
🐇🐃: galaxy
🐇🐄: gallery
🐇🐅: game
🐇🐆: gap
🐇🐇: garage
🐇🐈: garbage
🐇🐉: garden
🐇🐊: garlic
🐇🐋: garment
🐇🐍: gas
🐇🐎: gasp
🐇🐏: gate
🐇🐐: gather
🐇🐑: gauge
🐇🐒: gaze
🐇🐓: general
🐇🐔: genius
🐇🐕: genre
🐇🐖: gentle
🐇🐗: genuine
🐇🐘: gesture
🐇🐙: ghost
🐇🐚: giant
🐇🐛: gift
🐇🐜: giggle
🐇🐝: ginger
🐇🐞: giraffe
🐇🐟: girl
🐇🐠: give
🐇🐡: glad
🐇🐢: glance
🐇🐣: glare
🐇🐤: glass
🐇🐥: glide
🐇🐦: glimpse
🐇🐧: globe
🐇🐨: gloom
🐇🐩: glory
🐇🐪: glove
🐇🐫: glow
🐇🐬: glue
🐇🐭: goat
🐇🐮: goddess
🐇🐯: gold
🐇🐰: good
🐇🐱: goose
🐇🐲: gorilla
🐇🐳: gospel
🐇🐴: gossip
🐇🐵: govern
🐇🐶: gown
🐇🐷: grab
🐇🐸: grace
🐇🐹: grain
🐇🐺: grant
🐇🐻: grape
🐇🐼: grass
🐇🐿: gravity
🐇🕊: great
🐇🦁: green
🐇🦂: grid
🐇🦃: grief
🐇🦄: grit
🐇🦅: grocery
🐇🦆: group
🐇🦇: grow
🐇🦈: grunt
🐇🦉: guard
🐇🦊: guess
🐇🦋: guide
🐇🦌: guilt
🐇🦍: guitar
🐇🦎: gun
🐇🦏: gym
🐇🦒: habit
🐇🦓: hair
🐇🦔: half
🐇🦕: hammer
🐇🦖: hamster
🐇🦗: hand
🐇🦘: happy
🐇🦙: harbor
🐇🦚: hard
🐇🦛: harsh
🐇🦜: harvest
🐇🦝: hat
🐇🦟: have
🐇🦠: hawk
🐇🦡: hazard
🐇🦢: head
🐇🦣: health
🐇🦤: heart
🐇🦥: heavy
🐇🦦: hedgehog
🐇🦧: height
🐇🦨: hello
🐇🦩: helmet
🐇🦫: help
🐇🦬: hen
🐇🦭: hero
🐇🦮: hidden
🐇🪰: high
🐇🪱: hill
🐇🪲: hint
🐇🪳: hip
🐈🐀: hire
🐈🐁: history
🐈🐂: hobby
🐈🐃: hockey
🐈🐄: hold
🐈🐅: hole
🐈🐆: holiday
🐈🐇: hollow
🐈🐈: home
🐈🐉: honey
🐈🐊: hood
🐈🐋: hope
🐈🐍: horn
🐈🐎: horror
🐈🐏: horse
🐈🐐: hospital
🐈🐑: host
🐈🐒: hotel
🐈🐓: hour
🐈🐔: hover
🐈🐕: hub
🐈🐖: huge
🐈🐗: human
🐈🐘: humble
🐈🐙: humor
🐈🐚: hundred
🐈🐛: hungry
🐈🐜: hunt
🐈🐝: hurdle
🐈🐞: hurry
🐈🐟: hurt
🐈🐠: husband
🐈🐡: hybrid
🐈🐢: ice
🐈🐣: icon
🐈🐤: idea
🐈🐥: identify
🐈🐦: idle
🐈🐧: ignore
🐈🐨: ill
🐈🐩: illegal
🐈🐪: illness
🐈🐫: image
🐈🐬: imitate
🐈🐭: immense
🐈🐮: immune
🐈🐯: impact
🐈🐰: impose
🐈🐱: improve
🐈🐲: impulse
🐈🐳: inch
🐈🐴: include
🐈🐵: income
🐈🐶: increase
🐈🐷: index
🐈🐸: indicate
🐈🐹: indoor
🐈🐺: industry
🐈🐻: infant
🐈🐼: inflict
🐈🐿: inform
🐈🕊: inhale
🐈🦁: inherit
🐈🦂: initial
🐈🦃: inject
🐈🦄: injury
🐈🦅: inmate
🐈🦆: inner
🐈🦇: innocent
🐈🦈: input
🐈🦉: inquiry
🐈🦊: insane
🐈🦋: insect
🐈🦌: inside
🐈🦍: inspire
🐈🦎: install
🐈🦏: intact
🐈🦒: interest
🐈🦓: into
🐈🦔: invest
🐈🦕: invite
🐈🦖: involve
🐈🦗: iron
🐈🦘: island
🐈🦙: isolate
🐈🦚: issue
🐈🦛: item
🐈🦜: ivory
🐈🦝: jacket
🐈🦟: jaguar
🐈🦠: jar
🐈🦡: jazz
🐈🦢: jealous
🐈🦣: jeans
🐈🦤: jelly
🐈🦥: jewel
🐈🦦: job
🐈🦧: join
🐈🦨: joke
🐈🦩: journey
🐈🦫: joy
🐈🦬: judge
🐈🦭: juice
🐈🦮: jump
🐈🪰: jungle
🐈🪱: junior
🐈🪲: junk
🐈🪳: just
🐉🐀: kangaroo
🐉🐁: keen
🐉🐂: keep
🐉🐃: ketchup
🐉🐄: key
🐉🐅: kick
🐉🐆: kid
🐉🐇: kidney
🐉🐈: kind
🐉🐉: kingdom
🐉🐊: kiss
🐉🐋: kit
🐉🐍: kitchen
🐉🐎: kite
🐉🐏: kitten
🐉🐐: kiwi
🐉🐑: knee
🐉🐒: knife
🐉🐓: knock
🐉🐔: know
🐉🐕: lab
🐉🐖: label
🐉🐗: labor
🐉🐘: ladder
🐉🐙: lady
🐉🐚: lake
🐉🐛: lamp
🐉🐜: language
🐉🐝: laptop
🐉🐞: large
🐉🐟: later
🐉🐠: latin
🐉🐡: laugh
🐉🐢: laundry
🐉🐣: lava
🐉🐤: law
🐉🐥: lawn
🐉🐦: lawsuit
🐉🐧: layer
🐉🐨: lazy
🐉🐩: leader
🐉🐪: leaf
🐉🐫: learn
🐉🐬: leave
🐉🐭: lecture
🐉🐮: left
🐉🐯: leg
🐉🐰: legal
🐉🐱: legend
🐉🐲: leisure
🐉🐳: lemon
🐉🐴: lend
🐉🐵: length
🐉🐶: lens
🐉🐷: leopard
🐉🐸: lesson
🐉🐹: letter
🐉🐺: level
🐉🐻: liar
🐉🐼: liberty
🐉🐿: library
🐉🕊: license
🐉🦁: life
🐉🦂: lift
🐉🦃: light
🐉🦄: like
🐉🦅: limb
🐉🦆: limit
🐉🦇: link
🐉🦈: lion
🐉🦉: liquid
🐉🦊: list
🐉🦋: little
🐉🦌: live
🐉🦍: lizard
🐉🦎: load
🐉🦏: loan
🐉🦒: lobster
🐉🦓: local
🐉🦔: lock
🐉🦕: logic
🐉🦖: lonely
🐉🦗: long
🐉🦘: loop
🐉🦙: lottery
🐉🦚: loud
🐉🦛: lounge
🐉🦜: love
🐉🦝: loyal
🐉🦟: lucky
🐉🦠: luggage
🐉🦡: lumber
🐉🦢: lunar
🐉🦣: lunch
🐉🦤: luxury
🐉🦥: lyrics
🐉🦦: machine
🐉🦧: mad
🐉🦨: magic
🐉🦩: magnet
🐉🦫: maid
🐉🦬: mail
🐉🦭: main
🐉🦮: major
🐉🪰: make
🐉🪱: mammal
🐉🪲: man
🐉🪳: manage
🐊🐀: mandate
🐊🐁: mango
🐊🐂: mansion
🐊🐃: manual
🐊🐄: maple
🐊🐅: marble
🐊🐆: march
🐊🐇: margin
🐊🐈: marine
🐊🐉: market
🐊🐊: marriage
🐊🐋: mask
🐊🐍: mass
🐊🐎: master
🐊🐏: match
🐊🐐: material
🐊🐑: math
🐊🐒: matrix
🐊🐓: matter
🐊🐔: maximum
🐊🐕: maze
🐊🐖: meadow
🐊🐗: mean
🐊🐘: measure
🐊🐙: meat
🐊🐚: mechanic
🐊🐛: medal
🐊🐜: media
🐊🐝: melody
🐊🐞: melt
🐊🐟: member
🐊🐠: memory
🐊🐡: mention
🐊🐢: menu
🐊🐣: mercy
🐊🐤: merge
🐊🐥: merit
🐊🐦: merry
🐊🐧: mesh
🐊🐨: message
🐊🐩: metal
🐊🐪: method
🐊🐫: middle
🐊🐬: midnight
🐊🐭: milk
🐊🐮: million
🐊🐯: mimic
🐊🐰: mind
🐊🐱: minimum
🐊🐲: minor
🐊🐳: minute
🐊🐴: miracle
🐊🐵: mirror
🐊🐶: misery
🐊🐷: miss
🐊🐸: mistake
🐊🐹: mix
🐊🐺: mixed
🐊🐻: mixture
🐊🐼: mobile
🐊🐿: model
🐊🕊: modify
🐊🦁: mom
🐊🦂: moment
🐊🦃: monitor
🐊🦄: monkey
🐊🦅: monster
🐊🦆: month
🐊🦇: moon
🐊🦈: moral
🐊🦉: more
🐊🦊: morning
🐊🦋: mosquito
🐊🦌: mother
🐊🦍: motion
🐊🦎: motor
🐊🦏: mountain
🐊🦒: mouse
🐊🦓: move
🐊🦔: movie
🐊🦕: much
🐊🦖: muffin
🐊🦗: mule
🐊🦘: multiply
🐊🦙: muscle
🐊🦚: museum
🐊🦛: mushroom
🐊🦜: music
🐊🦝: must
🐊🦟: mutual
🐊🦠: myself
🐊🦡: mystery
🐊🦢: myth
🐊🦣: naive
🐊🦤: name
🐊🦥: napkin
🐊🦦: narrow
🐊🦧: nasty
🐊🦨: nation
🐊🦩: nature
🐊🦫: near
🐊🦬: neck
🐊🦭: need
🐊🦮: negative
🐊🪰: neglect
🐊🪱: neither
🐊🪲: nephew
🐊🪳: nerve
🐋🐀: nest
🐋🐁: net
🐋🐂: network
🐋🐃: neutral
🐋🐄: never
🐋🐅: news
🐋🐆: next
🐋🐇: nice
🐋🐈: night
🐋🐉: noble
🐋🐊: noise
🐋🐋: nominee
🐋🐍: noodle
🐋🐎: normal
🐋🐏: north
🐋🐐: nose
🐋🐑: notable
🐋🐒: note
🐋🐓: nothing
🐋🐔: notice
🐋🐕: novel
🐋🐖: now
🐋🐗: nuclear
🐋🐘: number
🐋🐙: nurse
🐋🐚: nut
🐋🐛: oak
🐋🐜: obey
🐋🐝: object
🐋🐞: oblige
🐋🐟: obscure
🐋🐠: observe
🐋🐡: obtain
🐋🐢: obvious
🐋🐣: occur
🐋🐤: ocean
🐋🐥: october
🐋🐦: odor
🐋🐧: off
🐋🐨: offer
🐋🐩: office
🐋🐪: often
🐋🐫: oil
🐋🐬: okay
🐋🐭: old
🐋🐮: olive
🐋🐯: olympic
🐋🐰: omit
🐋🐱: once
🐋🐲: one
🐋🐳: onion
🐋🐴: online
🐋🐵: only
🐋🐶: open
🐋🐷: opera
🐋🐸: opinion
🐋🐹: oppose
🐋🐺: option
🐋🐻: orange
🐋🐼: orbit
🐋🐿: orchard
🐋🕊: order
🐋🦁: ordinary
🐋🦂: organ
🐋🦃: orient
🐋🦄: original
🐋🦅: orphan
🐋🦆: ostrich
🐋🦇: other
🐋🦈: outdoor
🐋🦉: outer
🐋🦊: output
🐋🦋: outside
🐋🦌: oval
🐋🦍: oven
🐋🦎: over
🐋🦏: own
🐋🦒: owner
🐋🦓: oxygen
🐋🦔: oyster
🐋🦕: ozone
🐋🦖: pact
🐋🦗: paddle
🐋🦘: page
🐋🦙: pair
🐋🦚: palace
🐋🦛: palm
🐋🦜: panda
🐋🦝: panel
🐋🦟: panic
🐋🦠: panther
🐋🦡: paper
🐋🦢: parade
🐋🦣: parent
🐋🦤: park
🐋🦥: parrot
🐋🦦: party
🐋🦧: pass
🐋🦨: patch
🐋🦩: path
🐋🦫: patient
🐋🦬: patrol
🐋🦭: pattern
🐋🦮: pause
🐋🪰: pave
🐋🪱: payment
🐋🪲: peace
🐋🪳: peanut
🐍🐀: pear
🐍🐁: peasant
🐍🐂: pelican
🐍🐃: pen
🐍🐄: penalty
🐍🐅: pencil
🐍🐆: people
🐍🐇: pepper
🐍🐈: perfect
🐍🐉: permit
🐍🐊: person
🐍🐋: pet
🐍🐍: phone
🐍🐎: photo
🐍🐏: phrase
🐍🐐: physical
🐍🐑: piano
🐍🐒: picnic
🐍🐓: picture
🐍🐔: piece
🐍🐕: pig
🐍🐖: pigeon
🐍🐗: pill
🐍🐘: pilot
🐍🐙: pink
🐍🐚: pioneer
🐍🐛: pipe
🐍🐜: pistol
🐍🐝: pitch
🐍🐞: pizza
🐍🐟: place
🐍🐠: planet
🐍🐡: plastic
🐍🐢: plate
🐍🐣: play
🐍🐤: please
🐍🐥: pledge
🐍🐦: pluck
🐍🐧: plug
🐍🐨: plunge
🐍🐩: poem
🐍🐪: poet
🐍🐫: point
🐍🐬: polar
🐍🐭: pole
🐍🐮: police
🐍🐯: pond
🐍🐰: pony
🐍🐱: pool
🐍🐲: popular
🐍🐳: portion
🐍🐴: position
🐍🐵: possible
🐍🐶: post
🐍🐷: potato
🐍🐸: pottery
🐍🐹: poverty
🐍🐺: powder
🐍🐻: power
🐍🐼: practice
🐍🐿: praise
🐍🕊: predict
🐍🦁: prefer
🐍🦂: prepare
🐍🦃: present
🐍🦄: pretty
🐍🦅: prevent
🐍🦆: price
🐍🦇: pride
🐍🦈: primary
🐍🦉: print
🐍🦊: priority
🐍🦋: prison
🐍🦌: private
🐍🦍: prize
🐍🦎: problem
🐍🦏: process
